x,y,z,distance
133.5786047,-39.6342174,-5568,0
133.5854423,-39.62871112,-5582,0.855009935
133.5922798,-39.62320483,-5590,1.710019871
133.5991174,-39.61769855,-5587,2.565029806
133.605955,-39.61219227,-5586,3.420039741
133.6127925,-39.60668598,-5592,4.275049676
133.6196301,-39.6011797,-5585,5.130059612
133.6264677,-39.59567342,-5585,5.985069547
133.6333052,-39.59016713,-5577,6.840079482
133.6401428,-39.58466085,-5571,7.695089417
133.6469803,-39.57915456,-5571,8.550099353
133.6538179,-39.57364828,-5565,9.405109288
133.6606555,-39.568142,-5561,10.26011922
133.667493,-39.56263571,-5558,11.11512916
133.6743306,-39.55712943,-5558,11.97013909
133.6811682,-39.55162315,-5555,12.82514903
133.6880057,-39.54611686,-5553,13.68015896
133.6948433,-39.54061058,-5553,14.5351689
133.7016809,-39.5351043,-5549,15.39017883
133.7085184,-39.52959801,-5549,16.24518877
133.715356,-39.52409173,-5544,17.10019871
133.7221936,-39.51858545,-5539,17.95520864
133.7290311,-39.51307916,-5537,18.81021858
133.7358687,-39.50757288,-5535,19.66522851
133.7427063,-39.5020666,-5526,20.52023845
133.7495438,-39.49656031,-5521,21.37524838
133.7563814,-39.49105403,-5517,22.23025832
133.7632189,-39.48554775,-5513,23.08526825
133.7700565,-39.48004146,-5518,23.94027819
133.7768941,-39.47453518,-5510,24.79528812
133.7837316,-39.4690289,-5499,25.65029806
133.7905692,-39.46352261,-5494,26.50530799
133.7974068,-39.45801633,-5514,27.36031793
133.8042443,-39.45251004,-5506,28.21532786
133.8110819,-39.44700376,-5512,29.0703378
133.8179195,-39.44149748,-5498,29.92534773
133.824757,-39.43599119,-5494,30.78035767
133.8315946,-39.43048491,-5516,31.6353676
133.8384322,-39.42497863,-5509,32.49037754
133.8452697,-39.41947234,-5516,33.34538748
133.8521073,-39.41396606,-5522,34.20039741
133.8589449,-39.40845978,-5522,35.05540735
133.8657824,-39.40295349,-5519,35.91041728
133.87262,-39.39744721,-5513,36.76542722
133.8794575,-39.39194093,-5519,37.62043715
133.8862951,-39.38643464,-5513,38.47544709
133.8931327,-39.38092836,-5513,39.33045702
133.8999702,-39.37542208,-5511,40.18546696
133.9068078,-39.36991579,-5512,41.04047689
133.9136454,-39.36440951,-5508,41.89548683
133.9204829,-39.35890323,-5510,42.75049676
133.9273205,-39.35339694,-5505,43.6055067
133.9341581,-39.34789066,-5502,44.46051663
133.9409956,-39.34238438,-5499,45.31552657
133.9478332,-39.33687809,-5497,46.1705365
133.9546708,-39.33137181,-5495,47.02554644
133.9615083,-39.32586553,-5491,47.88055637
133.9683459,-39.32035924,-5492,48.73556631
133.9751834,-39.31485296,-5492,49.59057625
133.982021,-39.30934667,-5491,50.44558618
133.9888586,-39.30384039,-5493,51.30059612
133.9956961,-39.29833411,-5495,52.15560605
134.0025337,-39.29282782,-5501,53.01061599
134.0093713,-39.28732154,-5507,53.86562592
134.0162088,-39.28181526,-5511,54.72063586
134.0230464,-39.27630897,-5516,55.57564579
134.029884,-39.27080269,-5524,56.43065573
134.0367215,-39.26529641,-5533,57.28566566
134.0435591,-39.25979012,-5537,58.1406756
134.0503967,-39.25428384,-5543,58.99568553
134.0572342,-39.24877756,-5550,59.85069547
134.0640718,-39.24327127,-5565,60.7057054
134.0709094,-39.23776499,-5577,61.56071534
134.0777469,-39.23225871,-5577,62.41572527
134.0845845,-39.22675242,-5582,63.27073521
134.091422,-39.22124614,-5585,64.12574514
134.0982596,-39.21573986,-5585,64.98075508
134.1050972,-39.21023357,-5577,65.83576501
134.1119347,-39.20472729,-5577,66.69077495
134.1187723,-39.19922101,-5567,67.54578489
134.1256099,-39.19371472,-5559,68.40079482
134.1324474,-39.18820844,-5557,69.25580476
134.139285,-39.18270215,-5549,70.11081469
134.1461226,-39.17719587,-5540,70.96582463
134.1529601,-39.17168959,-5540,71.82083456
134.1597977,-39.1661833,-5532,72.6758445
134.1666353,-39.16067702,-5531,73.53085443
134.1734728,-39.15517074,-5529,74.38586437
134.1803104,-39.14966445,-5525,75.2408743
134.187148,-39.14415817,-5525,76.09588424
134.1939855,-39.13865189,-5523,76.95089417
134.2008231,-39.1331456,-5520,77.80590411
134.2076606,-39.12763932,-5528,78.66091404
134.2144982,-39.12213304,-5535,79.51592398
134.2213358,-39.11662675,-5539,80.37093391
134.2281733,-39.11112047,-5545,81.22594385
134.2350109,-39.10561419,-5544,82.08095378
134.2418485,-39.1001079,-5550,82.93596372
134.248686,-39.09460162,-5554,83.79097366
134.2555236,-39.08909534,-5555,84.64598359
134.2623612,-39.08358905,-5555,85.50099353
134.2691987,-39.07808277,-5557,86.35600346
134.2760363,-39.07257649,-5558,87.2110134
134.2828739,-39.0670702,-5558,88.06602333
134.2897114,-39.06156392,-5558,88.92103327
134.296549,-39.05605764,-5558,89.7760432
134.3033866,-39.05055135,-5557,90.63105314
134.3102241,-39.04504507,-5554,91.48606307
134.3170617,-39.03953878,-5551,92.34107301
134.3238992,-39.0340325,-5551,93.19608294
134.3307368,-39.02852622,-5550,94.05109288
134.3375744,-39.02301993,-5550,94.90610281
134.3444119,-39.01751365,-5552,95.76111275
134.3512495,-39.01200737,-5552,96.61612268
134.3580871,-39.00650108,-5557,97.47113262
134.3649246,-39.0009948,-5563,98.32614255
134.3717622,-38.99548852,-5565,99.18115249
134.3785998,-38.98998223,-5579,100.0361624
134.3854373,-38.98447595,-5585,100.8911724
134.3922749,-38.97896967,-5588,101.7461823
134.3991125,-38.97346338,-5600,102.6011922
134.40595,-38.9679571,-5592,103.4562022
134.4127876,-38.96245082,-5592,104.3112121
134.4196252,-38.95694453,-5599,105.166222
134.4264627,-38.95143825,-5589,106.021232
134.4333003,-38.94593197,-5587,106.8762419
134.4401378,-38.94042568,-5580,107.7312518
134.4469754,-38.9349194,-5566,108.5862618
134.453813,-38.92941312,-5571,109.4412717
134.4606505,-38.92390683,-5557,110.2962816
134.4674881,-38.91840055,-5555,111.1512916
134.4743257,-38.91289426,-5550,112.0063015
134.4811632,-38.90738798,-5550,112.8613115
134.4880008,-38.9018817,-5547,113.7163214
134.4948384,-38.89637541,-5545,114.5713313
134.5016759,-38.89086913,-5544,115.4263413
134.5085135,-38.88536285,-5546,116.2813512
134.5153511,-38.87985656,-5546,117.1363611
134.5221886,-38.87435028,-5547,117.9913711
134.5290262,-38.868844,-5551,118.846381
134.5358637,-38.86333771,-5549,119.7013909
134.5427013,-38.85783143,-5554,120.5564009
134.5495389,-38.85232515,-5553,121.4114108
134.5563764,-38.84681886,-5550,122.2664207
134.563214,-38.84131258,-5548,123.1214307
134.5700516,-38.8358063,-5546,123.9764406
134.5768891,-38.83030001,-5549,124.8314505
134.5837267,-38.82479373,-5546,125.6864605
134.5905643,-38.81928745,-5542,126.5414704
134.5974018,-38.81378116,-5539,127.3964804
134.6042394,-38.80827488,-5539,128.2514903
134.611077,-38.8027686,-5538,129.1065002
134.6179145,-38.79726231,-5535,129.9615102
134.6247521,-38.79175603,-5533,130.8165201
134.6315897,-38.78624975,-5530,131.67153
134.6384272,-38.78074346,-5529,132.52654
134.6452648,-38.77523718,-5529,133.3815499
134.6521023,-38.76973089,-5528,134.2365598
134.6589399,-38.76422461,-5527,135.0915698
134.6657775,-38.75871833,-5527,135.9465797
134.672615,-38.75321204,-5527,136.8015896
134.6794526,-38.74770576,-5528,137.6565996
134.6862902,-38.74219948,-5528,138.5116095
134.6931277,-38.73669319,-5529,139.3666194
134.6999653,-38.73118691,-5529,140.2216294
134.7068029,-38.72568063,-5531,141.0766393
134.7136404,-38.72017434,-5533,141.9316493
134.720478,-38.71466806,-5534,142.7866592
134.7273156,-38.70916178,-5534,143.6416691
134.7341531,-38.70365549,-5536,144.4966791
134.7409907,-38.69814921,-5544,145.351689
134.7478283,-38.69264293,-5549,146.2066989
134.7546658,-38.68713664,-5558,147.0617089
134.7615034,-38.68163036,-5557,147.9167188
134.7683409,-38.67612408,-5568,148.7717287
134.7751785,-38.67061779,-5583,149.6267387
134.7820161,-38.66511151,-5589,150.4817486
134.7888536,-38.65960523,-5582,151.3367585
134.7956912,-38.65409894,-5594,152.1917685
134.8025288,-38.64859266,-5579,153.0467784
134.8093663,-38.64308637,-5572,153.9017883
134.8162039,-38.63758009,-5548,154.7567983
134.8230415,-38.63207381,-5537,155.6118082
134.829879,-38.62656752,-5527,156.4668182
134.8367166,-38.62106124,-5501,157.3218281
134.8435542,-38.61555496,-5482,158.176838
134.8503917,-38.61004867,-5482,159.031848
134.8572293,-38.60454239,-5471,159.8868579
134.8640669,-38.59903611,-5463,160.7418678
134.8709044,-38.59352982,-5461,161.5968778
134.877742,-38.58802354,-5468,162.4518877
134.8845795,-38.58251726,-5468,163.3068976
134.8914171,-38.57701097,-5476,164.1619076
134.8982547,-38.57150469,-5484,165.0169175
134.9050922,-38.56599841,-5488,165.8719274
134.9119298,-38.56049212,-5497,166.7269374
134.9187674,-38.55498584,-5497,167.5819473
134.9256049,-38.54947956,-5522,168.4369572
134.9324425,-38.54397327,-5555,169.2919672
134.9392801,-38.53846699,-5569,170.1469771
134.9461176,-38.53296071,-5593,171.0019871
134.9529552,-38.52745442,-5615,171.856997
134.9597928,-38.52194814,-5622,172.7120069
134.9666303,-38.51644185,-5630,173.5670169
134.9734679,-38.51093557,-5638,174.4220268
134.9803055,-38.50542929,-5631,175.2770367
134.987143,-38.499923,-5626,176.1320467
134.9939806,-38.49441672,-5628,176.9870566
135.0008181,-38.48891044,-5612,177.8420665
135.0076557,-38.48340415,-5582,178.6970765
135.0144933,-38.47789787,-5573,179.5520864
135.0213308,-38.47239159,-5535,180.4070963
135.0281684,-38.4668853,-5530,181.2621063
135.035006,-38.46137902,-5492,182.1171162
135.0418435,-38.45587274,-5487,182.9721261
135.0486811,-38.45036645,-5480,183.8271361
135.0555187,-38.44486017,-5470,184.682146
135.0623562,-38.43935389,-5465,185.537156
135.0691938,-38.4338476,-5465,186.3921659
135.0760314,-38.42834132,-5463,187.2471758
135.0828689,-38.42283504,-5462,188.1021858
135.0897065,-38.41732875,-5460,188.9571957
135.0965441,-38.41182247,-5459,189.8122056
135.1033816,-38.40631619,-5459,190.6672156
135.1102192,-38.4008099,-5458,191.5222255
135.1170567,-38.39530362,-5456,192.3772354
135.1238943,-38.38979734,-5455,193.2322454
135.1307319,-38.38429105,-5455,194.0872553
135.1375694,-38.37878477,-5453,194.9422652
135.144407,-38.37327848,-5452,195.7972752
135.1512446,-38.3677722,-5451,196.6522851
135.1580821,-38.36226592,-5450,197.507295
135.1649197,-38.35675963,-5449,198.362305
135.1717573,-38.35125335,-5450,199.2173149
135.1785948,-38.34574707,-5452,200.0723249
135.1854324,-38.34024078,-5459,200.9273348
135.19227,-38.3347345,-5462,201.7823447
135.1991075,-38.32922822,-5469,202.6373547
135.2059451,-38.32372193,-5476,203.4923646
135.2127826,-38.31821565,-5487,204.3473745
135.2196202,-38.31270937,-5497,205.2023845
135.2264578,-38.30720308,-5495,206.0573944
135.2332953,-38.3016968,-5501,206.9124043
135.2401329,-38.29619052,-5496,207.7674143
135.2469705,-38.29068423,-5483,208.6224242
135.253808,-38.28517795,-5483,209.4774341
135.2606456,-38.27967167,-5474,210.3324441
135.2674832,-38.27416538,-5470,211.187454
135.2743207,-38.2686591,-5459,212.0424639
135.2811583,-38.26315282,-5450,212.8974739
135.2879959,-38.25764653,-5450,213.7524838
135.2948334,-38.25214025,-5446,214.6074938
135.301671,-38.24663396,-5445,215.4625037
135.3085086,-38.24112768,-5444,216.3175136
135.3153461,-38.2356214,-5442,217.1725236
135.3221837,-38.23011511,-5442,218.0275335
135.3290212,-38.22460883,-5440,218.8825434
135.3358588,-38.21910255,-5441,219.7375534
135.3426964,-38.21359626,-5442,220.5925633
135.3495339,-38.20808998,-5442,221.4475732
135.3563715,-38.2025837,-5445,222.3025832
135.3632091,-38.19707741,-5446,223.1575931
135.3700466,-38.19157113,-5456,224.012603
135.3768842,-38.18606485,-5459,224.867613
135.3837218,-38.18055856,-5476,225.7226229
135.3905593,-38.17505228,-5491,226.5776328
135.3973969,-38.169546,-5498,227.4326428
135.4042345,-38.16403971,-5519,228.2876527
