x,y,z,distance
154.2952811,-27.263513,-4388,0
154.3015167,-27.27762951,-4516,1.672563861
154.3077523,-27.29174602,-4471,3.345127722
154.3139878,-27.30586253,-4442,5.017691582
154.3202234,-27.31997904,-4290,6.690255443
154.3264589,-27.33409555,-4227,8.362819304
154.3326945,-27.34821206,-4151,10.03538316
154.33893,-27.36232857,-4099,11.70794703
154.3451656,-27.37644509,-3995,13.38051089
154.3514011,-27.3905616,-3938,15.05307475
154.3576367,-27.40467811,-3885,16.72563861
154.3638723,-27.41879462,-3842,18.39820247
154.3701078,-27.43291113,-3746,20.07076633
154.3763434,-27.44702764,-3706,21.74333019
154.3825789,-27.46114415,-3550,23.41589405
154.3888145,-27.47526066,-3502,25.08845791
154.39505,-27.48937717,-3420,26.76102177
154.4012856,-27.50349368,-3247,28.43358563
154.4075211,-27.51761019,-3185,30.10614949
154.4137567,-27.5317267,-3051,31.77871335
154.4199923,-27.54584321,-3051,33.45127722
154.4262278,-27.55995972,-2959,35.12384108
154.4324634,-27.57407623,-2993,36.79640494
154.4386989,-27.58819274,-2956,38.4689688
154.4449345,-27.60230925,-2888,40.14153266
154.45117,-27.61642576,-2879,41.81409652
154.4574056,-27.63054227,-2807,43.48666038
154.4636411,-27.64465878,-2775,45.15922424
154.4698767,-27.65877529,-2704,46.8317881
154.4761123,-27.6728918,-2732,48.50435196
154.4823478,-27.68700831,-2702,50.17691582
154.4885834,-27.70112482,-2694,51.84947968
154.4948189,-27.71524133,-2720,53.52204354
154.5010545,-27.72935784,-2723,55.1946074
154.50729,-27.74347435,-2825,56.86717127
154.5135256,-27.75759086,-2831,58.53973513
154.5197611,-27.77170737,-2833,60.21229899
154.5259967,-27.78582388,-2870,61.88486285
154.5322323,-27.79994039,-2857,63.55742671
154.5384678,-27.8140569,-2899,65.22999057
154.5447034,-27.82817341,-2889,66.90255443
154.5509389,-27.84228992,-2928,68.57511829
154.5571745,-27.85640643,-2915,70.24768215
154.56341,-27.87052294,-2883,71.92024601
154.5696456,-27.88463945,-3011,73.59280987
154.5758811,-27.89875596,-3001,75.26537373
