x,y,z,distance
159.7419571,-26.65540342,-2469,0
159.7298748,-26.65694327,-2463,1.209423067
159.7177925,-26.65848312,-2458,2.418846133
159.7057103,-26.66002297,-2456,3.6282692
159.693628,-26.66156282,-2450,4.837692267
159.6815457,-26.66310267,-2447,6.047115334
159.6694634,-26.66464252,-2443,7.2565384
159.6573811,-26.66618237,-2426,8.465961467
159.6452988,-26.66772221,-2331,9.675384534
159.6332165,-26.66926206,-1822,10.8848076
159.6211343,-26.67080191,-1550,12.09423067
159.609052,-26.67234176,-1314,13.30365373
159.5969697,-26.67388161,-1131,14.5130768
159.5848874,-26.67542146,-1091,15.72249987
159.5728051,-26.67696131,-1006,16.93192293
159.5607228,-26.67850116,-1054,18.141346
159.5486405,-26.68004101,-338,19.35076907
159.5365582,-26.68158085,-372,20.56019213
159.524476,-26.6831207,-383,21.7696152
159.5123937,-26.68466055,-305,22.97903827
159.5003114,-26.6862004,-307,24.18846133
159.4882291,-26.68774025,-299,25.3978844
159.4761468,-26.6892801,-301,26.60730747
159.4640645,-26.69081995,-296,27.81673053
159.4519822,-26.6923598,-296,29.0261536
159.4398999,-26.69389964,-295,30.23557667
159.4278177,-26.69543949,-294,31.44499973
159.4157354,-26.69697934,-293,32.6544228
159.4036531,-26.69851919,-293,33.86384587
159.3915708,-26.70005904,-297,35.07326893
159.3794885,-26.70159889,-299,36.282692
159.3674062,-26.70313874,-304,37.49211507
159.3553239,-26.70467859,-304,38.70153813
159.3432417,-26.70621843,-321,39.9109612
159.3311594,-26.70775828,-323,41.12038427
159.3190771,-26.70929813,-344,42.32980733
159.3069948,-26.71083798,-703,43.5392304
159.2949125,-26.71237783,-1004,44.74865347
159.2828302,-26.71391768,-1612,45.95807653
159.2707479,-26.71545753,-1953,47.1674996
159.2586656,-26.71699738,-2091,48.37692267
159.2465834,-26.71853723,-2327,49.58634573
159.2345011,-26.72007707,-2501,50.7957688
159.2224188,-26.72161692,-2687,52.00519187
159.2103365,-26.72315677,-2738,53.21461493
159.1982542,-26.72469662,-2781,54.424038
159.1861719,-26.72623647,-2823,55.63346107
159.1740896,-26.72777632,-2870,56.84288414
159.1620073,-26.72931617,-3065,58.0523072
159.1499251,-26.73085602,-3095,59.26173027
159.1378428,-26.73239586,-3121,60.47115334
159.1257605,-26.73393571,-3147,61.6805764
159.1136782,-26.73547556,-3182,62.88999947
159.1015959,-26.73701541,-3197,64.09942254
159.0895136,-26.73855526,-3210,65.3088456
159.0774313,-26.74009511,-3218,66.51826867
159.0653491,-26.74163496,-3234,67.72769174
159.0532668,-26.74317481,-3247,68.9371148
159.0411845,-26.74471466,-3250,70.14653787
159.0291022,-26.7462545,-3252,71.35596094
159.0170199,-26.74779435,-3257,72.565384
159.0049376,-26.7493342,-3263,73.77480707
158.9928553,-26.75087405,-3268,74.98423014
158.980773,-26.7524139,-3285,76.1936532
158.9686908,-26.75395375,-3293,77.40307627
158.9566085,-26.7554936,-3309,78.61249934
158.9445262,-26.75703345,-3319,79.8219224
158.9324439,-26.75857329,-3350,81.03134547
158.9203616,-26.76011314,-3363,82.24076854
158.9082793,-26.76165299,-3380,83.4501916
158.896197,-26.76319284,-3383,84.65961467
158.8841148,-26.76473269,-3391,85.86903774
158.8720325,-26.76627254,-3409,87.0784608
158.8599502,-26.76781239,-3420,88.28788387
158.8478679,-26.76935224,-3436,89.49730694
158.8357856,-26.77089209,-3452,90.70673
158.8237033,-26.77243193,-3470,91.91615307
158.811621,-26.77397178,-3482,93.12557614
158.7995387,-26.77551163,-3500,94.3349992
158.7874565,-26.77705148,-3516,95.54442227
158.7753742,-26.77859133,-3526,96.75384534
158.7632919,-26.78013118,-3546,97.9632684
158.7512096,-26.78167103,-3541,99.17269147
158.7391273,-26.78321088,-3534,100.3821145
158.727045,-26.78475072,-3528,101.5915376
158.7149627,-26.78629057,-3524,102.8009607
158.7028804,-26.78783042,-3520,104.0103837
158.6907982,-26.78937027,-3528,105.2198068
158.6787159,-26.79091012,-3544,106.4292299
158.6666336,-26.79244997,-3559,107.6386529
158.6545513,-26.79398982,-3575,108.848076
