x,y,z,distance
109.7368073,-34.0451712,-3346,0
109.7442429,-34.04513409,-3334,0.68513829
109.7516785,-34.04509698,-3321,1.370276579
109.7591142,-34.04505987,-3311,2.055414869
109.7665498,-34.04502277,-3279,2.740553159
109.7739854,-34.04498566,-3235,3.425691449
109.7814211,-34.04494855,-3184,4.110829738
109.7888567,-34.04491145,-3157,4.795968028
109.7962923,-34.04487434,-3103,5.481106318
109.803728,-34.04483723,-3103,6.166244608
109.8111636,-34.04480013,-3076,6.851382897
109.8185992,-34.04476302,-3023,7.536521187
109.8260349,-34.04472591,-2997,8.221659477
109.8334705,-34.0446888,-2945,8.906797766
109.8409062,-34.0446517,-2870,9.591936056
109.8483418,-34.04461459,-2846,10.27707435
109.8557774,-34.04457748,-2801,10.96221264
109.8632131,-34.04454038,-2781,11.64735093
109.8706487,-34.04450327,-2781,12.33248922
109.8780843,-34.04446616,-2743,13.0176275
109.88552,-34.04442906,-2727,13.70276579
109.8929556,-34.04439195,-2697,14.38790408
109.9003912,-34.04435484,-2685,15.07304237
109.9078269,-34.04431773,-2660,15.75818066
109.9152625,-34.04428063,-2652,16.44331895
109.9226981,-34.04424352,-2652,17.12845724
109.9301338,-34.04420641,-2647,17.81359553
109.9375694,-34.04416931,-2647,18.49873382
109.945005,-34.0441322,-2635,19.18387211
109.9524407,-34.04409509,-2620,19.8690104
109.9598763,-34.04405799,-2640,20.55414869
109.967312,-34.04402088,-2589,21.23928698
109.9747476,-34.04398377,-2601,21.92442527
109.9821832,-34.04394667,-2590,22.60956356
109.9896189,-34.04390956,-2582,23.29470185
109.9970545,-34.04387245,-2582,23.97984014
110.0044901,-34.04383534,-2582,24.66497843
110.0119258,-34.04379824,-2583,25.35011672
110.0193614,-34.04376113,-2571,26.03525501
110.026797,-34.04372402,-2566,26.7203933
110.0342327,-34.04368692,-2556,27.40553159
110.0416683,-34.04364981,-2529,28.09066988
110.0491039,-34.0436127,-2517,28.77580817
110.0565396,-34.0435756,-2511,29.46094646
110.0639752,-34.04353849,-2505,30.14608475
110.0714109,-34.04350138,-2505,30.83122304
110.0788465,-34.04346427,-2479,31.51636133
110.0862821,-34.04342717,-2466,32.20149962
110.0937178,-34.04339006,-2463,32.88663791
110.1011534,-34.04335295,-2433,33.5717762
110.108589,-34.04331585,-2432,34.25691449
110.1160247,-34.04327874,-2408,34.94205278
110.1234603,-34.04324163,-2434,35.62719107
110.1308959,-34.04320453,-2385,36.31232936
110.1383316,-34.04316742,-2385,36.99746765
110.1457672,-34.04313031,-2378,37.68260594
110.1532028,-34.0430932,-2410,38.36774422
110.1606385,-34.0430561,-2416,39.05288251
110.1680741,-34.04301899,-2424,39.7380208
110.1755098,-34.04298188,-2428,40.42315909
110.1829454,-34.04294478,-2431,41.10829738
110.190381,-34.04290767,-2430,41.79343567
110.1978167,-34.04287056,-2426,42.47857396
110.2052523,-34.04283346,-2426,43.16371225
110.2126879,-34.04279635,-2416,43.84885054
110.2201236,-34.04275924,-2410,44.53398883
110.2275592,-34.04272213,-2398,45.21912712
110.2349948,-34.04268503,-2381,45.90426541
110.2424305,-34.04264792,-2376,46.5894037
110.2498661,-34.04261081,-2371,47.27454199
110.2573017,-34.04257371,-2361,47.95968028
110.2647374,-34.0425366,-2357,48.64481857
110.272173,-34.04249949,-2357,49.32995686
110.2796087,-34.04246239,-2349,50.01509515
110.2870443,-34.04242528,-2346,50.70023344
110.2944799,-34.04238817,-2340,51.38537173
110.3019156,-34.04235106,-2335,52.07051002
110.3093512,-34.04231396,-2335,52.75564831
110.3167868,-34.04227685,-2334,53.4407866
110.3242225,-34.04223974,-2334,54.12592489
110.3316581,-34.04220264,-2334,54.81106318
110.3390937,-34.04216553,-2334,55.49620147
110.3465294,-34.04212842,-2335,56.18133976
110.353965,-34.04209132,-2337,56.86647805
110.3614006,-34.04205421,-2338,57.55161634
110.3688363,-34.0420171,-2342,58.23675463
110.3762719,-34.04197999,-2346,58.92189292
110.3837075,-34.04194289,-2347,59.60703121
110.3911432,-34.04190578,-2350,60.2921695
110.3985788,-34.04186867,-2352,60.97730779
110.4060145,-34.04183157,-2352,61.66244608
110.4134501,-34.04179446,-2353,62.34758437
110.4208857,-34.04175735,-2354,63.03272266
110.4283214,-34.04172025,-2353,63.71786094
110.435757,-34.04168314,-2350,64.40299923
110.4431926,-34.04164603,-2348,65.08813752
110.4506283,-34.04160893,-2347,65.77327581
110.4580639,-34.04157182,-2348,66.4584141
110.4654995,-34.04153471,-2350,67.14355239
110.4729352,-34.0414976,-2350,67.82869068
110.4803708,-34.0414605,-2352,68.51382897
110.4878064,-34.04142339,-2355,69.19896726
110.4952421,-34.04138628,-2365,69.88410555
110.5026777,-34.04134918,-2396,70.56924384
110.5101134,-34.04131207,-2404,71.25438213
110.517549,-34.04127496,-2401,71.93952042
110.5249846,-34.04123786,-2375,72.62465871
110.5324203,-34.04120075,-2375,73.309797
110.5398559,-34.04116364,-2365,73.99493529
110.5472915,-34.04112653,-2376,74.68007358
110.5547272,-34.04108943,-2357,75.36521187
110.5621628,-34.04105232,-2351,76.05035016
110.5695984,-34.04101521,-2335,76.73548845
110.5770341,-34.04097811,-2334,77.42062674
110.5844697,-34.040941,-2329,78.10576503
110.5919053,-34.04090389,-2321,78.79090332
110.599341,-34.04086679,-2321,79.47604161
110.6067766,-34.04082968,-2312,80.1611799
110.6142123,-34.04079257,-2299,80.84631819
110.6216479,-34.04075546,-2297,81.53145648
110.6290835,-34.04071836,-2285,82.21659477
110.6365192,-34.04068125,-2274,82.90173306
110.6439548,-34.04064414,-2274,83.58687135
110.6513904,-34.04060704,-2269,84.27200964
110.6588261,-34.04056993,-2267,84.95714793
110.6662617,-34.04053282,-2267,85.64228622
110.6736973,-34.04049572,-2268,86.32742451
110.681133,-34.04045861,-2279,87.0125628
110.6885686,-34.0404215,-2263,87.69770109
110.6960042,-34.04038439,-2256,88.38283938
110.7034399,-34.04034729,-2242,89.06797766
110.7108755,-34.04031018,-2231,89.75311595
110.7183112,-34.04027307,-2233,90.43825424
110.7257468,-34.04023597,-2232,91.12339253
110.7331824,-34.04019886,-2232,91.80853082
110.7406181,-34.04016175,-2226,92.49366911
110.7480537,-34.04012465,-2222,93.1788074
110.7554893,-34.04008754,-2224,93.86394569
110.762925,-34.04005043,-2228,94.54908398
110.7703606,-34.04001332,-2230,95.23422227
110.7777962,-34.03997622,-2226,95.91936056
110.7852319,-34.03993911,-2226,96.60449885
110.7926675,-34.039902,-2216,97.28963714
110.8001031,-34.0398649,-2216,97.97477543
110.8075388,-34.03982779,-2214,98.65991372
110.8149744,-34.03979068,-2217,99.34505201
110.8224101,-34.03975358,-2221,100.0301903
110.8298457,-34.03971647,-2229,100.7153286
110.8372813,-34.03967936,-2239,101.4004669
110.844717,-34.03964226,-2241,102.0856052
110.8521526,-34.03960515,-2244,102.7707435
110.8595882,-34.03956804,-2246,103.4558817
110.8670239,-34.03953093,-2246,104.14102
110.8744595,-34.03949383,-2247,104.8261583
110.8818951,-34.03945672,-2246,105.5112966
110.8893308,-34.03941961,-2243,106.1964349
110.8967664,-34.03938251,-2240,106.8815732
110.904202,-34.0393454,-2229,107.5667115
110.9116377,-34.03930829,-2222,108.2518498
110.9190733,-34.03927119,-2219,108.9369881
110.9265089,-34.03923408,-2211,109.6221264
110.9339446,-34.03919697,-2211,110.3072646
110.9413802,-34.03915986,-2208,110.9924029
110.9488159,-34.03912276,-2203,111.6775412
110.9562515,-34.03908565,-2200,112.3626795
110.9636871,-34.03904854,-2192,113.0478178
110.9711228,-34.03901144,-2190,113.7329561
110.9785584,-34.03897433,-2178,114.4180944
110.985994,-34.03893722,-2172,115.1032327
110.9934297,-34.03890012,-2160,115.788371
111.0008653,-34.03886301,-2160,116.4735093
111.0083009,-34.0388259,-2154,117.1586475
111.0157366,-34.03878879,-2140,117.8437858
111.0231722,-34.03875169,-2133,118.5289241
111.0306078,-34.03871458,-2110,119.2140624
111.0380435,-34.03867747,-2099,119.8992007
111.0454791,-34.03864037,-2099,120.584339
111.0529148,-34.03860326,-2097,121.2694773
111.0603504,-34.03856615,-2096,121.9546156
111.067786,-34.03852905,-2096,122.6397539
111.0752217,-34.03849194,-2095,123.3248922
111.0826573,-34.03845483,-2099,124.0100304
111.0900929,-34.03841772,-2107,124.6951687
111.0975286,-34.03838062,-2119,125.380307
111.1049642,-34.03834351,-2122,126.0654453
111.1123998,-34.0383064,-2125,126.7505836
111.1198355,-34.0382693,-2127,127.4357219
111.1272711,-34.03823219,-2130,128.1208602
111.1347067,-34.03819508,-2130,128.8059985
111.1421424,-34.03815798,-2131,129.4911368
111.149578,-34.03812087,-2128,130.176275
111.1570137,-34.03808376,-2127,130.8614133
111.1644493,-34.03804665,-2121,131.5465516
111.1718849,-34.03800955,-2117,132.2316899
111.1793206,-34.03797244,-2114,132.9168282
111.1867562,-34.03793533,-2111,133.6019665
111.1941918,-34.03789823,-2105,134.2871048
111.2016275,-34.03786112,-2105,134.9722431
111.2090631,-34.03782401,-2102,135.6573814
111.2164987,-34.03778691,-2098,136.3425197
111.2239344,-34.0377498,-2096,137.0276579
111.23137,-34.03771269,-2090,137.7127962
111.2388056,-34.03767558,-2089,138.3979345
111.2462413,-34.03763848,-2092,139.0830728
111.2536769,-34.03760137,-2097,139.7682111
111.2611126,-34.03756426,-2097,140.4533494
111.2685482,-34.03752716,-2100,141.1384877
111.2759838,-34.03749005,-2105,141.823626
111.2834195,-34.03745294,-2111,142.5087643
111.2908551,-34.03741584,-2123,143.1939026
111.2982907,-34.03737873,-2141,143.8790408
111.3057264,-34.03734162,-2146,144.5641791
111.313162,-34.03730452,-2154,145.2493174
111.3205976,-34.03726741,-2158,145.9344557
111.3280333,-34.0372303,-2158,146.619594
111.3354689,-34.03719319,-2166,147.3047323
111.3429045,-34.03715609,-2171,147.9898706
111.3503402,-34.03711898,-2176,148.6750089
111.3577758,-34.03708187,-2179,149.3601472
111.3652115,-34.03704477,-2187,150.0452855
111.3726471,-34.03700766,-2192,150.7304237
111.3800827,-34.03697055,-2195,151.415562
111.3875184,-34.03693345,-2200,152.1007003
111.394954,-34.03689634,-2200,152.7858386
111.4023896,-34.03685923,-2203,153.4709769
111.4098253,-34.03682212,-2208,154.1561152
111.4172609,-34.03678502,-2210,154.8412535
111.4246965,-34.03674791,-2212,155.5263918
111.4321322,-34.0367108,-2217,156.2115301
111.4395678,-34.0366737,-2221,156.8966683
111.4470034,-34.03663659,-2223,157.5818066
111.4544391,-34.03659948,-2228,158.2669449
111.4618747,-34.03656238,-2228,158.9520832
111.4693103,-34.03652527,-2231,159.6372215
111.476746,-34.03648816,-2235,160.3223598
111.4841816,-34.03645105,-2238,161.0074981
111.4916173,-34.03641395,-2243,161.6926364
111.4990529,-34.03637684,-2251,162.3777747
111.5064885,-34.03633973,-2253,163.062913
111.5139242,-34.03630263,-2258,163.7480512
111.5213598,-34.03626552,-2261,164.4331895
111.5287954,-34.03622841,-2261,165.1183278
111.5362311,-34.03619131,-2266,165.8034661
