x,y,z,distance
152.7850252,-34.13592792,-4856,0
152.8202057,-34.13429548,-4887,3.254487077
152.8553861,-34.13266305,-4906,6.508974155
152.8905666,-34.13103061,-4978,9.763461232
152.9257471,-34.12939817,-4968,13.01794831
152.9609276,-34.12776574,-4902,16.27243539
152.996108,-34.1261333,-4863,19.52692246
153.0312885,-34.12450087,-4816,22.78140954
153.066469,-34.12286843,-4826,26.03589662
153.1016495,-34.12123599,-4839,29.2903837
153.13683,-34.11960356,-4841,32.54487077
153.1720104,-34.11797112,-4804,35.79935785
153.2071909,-34.11633868,-4769,39.05384493
153.2423714,-34.11470625,-4770,42.308332
153.2775519,-34.11307381,-4785,45.56281908
153.3127324,-34.11144138,-4845,48.81730616
153.3479128,-34.10980894,-4893,52.07179324
153.3830933,-34.1081765,-4864,55.32628031
153.4182738,-34.10654407,-4838,58.58076739
153.4534543,-34.10491163,-4803,61.83525447
153.4886348,-34.10327919,-4785,65.08974155
153.5238152,-34.10164676,-4776,68.34422862
153.5589957,-34.10001432,-4766,71.5987157
153.5941762,-34.09838188,-4786,74.85320278
153.6293567,-34.09674945,-4810,78.10768986
153.6645371,-34.09511701,-4832,81.36217693
153.6997176,-34.09348458,-4832,84.61666401
153.7348981,-34.09185214,-4839,87.87115109
153.7700786,-34.0902197,-4844,91.12563816
153.8052591,-34.08858727,-4834,94.38012524
153.8404395,-34.08695483,-4824,97.63461232
153.87562,-34.08532239,-4821,100.8890994
153.9108005,-34.08368996,-4817,104.1435865
153.945981,-34.08205752,-4835,107.3980736
153.9811615,-34.08042509,-4981,110.6525606
154.0163419,-34.07879265,-5060,113.9070477
154.0515224,-34.07716021,-5107,117.1615348
154.0867029,-34.07552778,-5037,120.4160219
154.1218834,-34.07389534,-4913,123.6705089
154.1570639,-34.0722629,-4872,126.924996
154.1922443,-34.07063047,-4855,130.1794831
154.2274248,-34.06899803,-4874,133.4339702
154.2626053,-34.0673656,-4885,136.6884572
154.2977858,-34.06573316,-4889,139.9429443
154.3329662,-34.06410072,-4861,143.1974314
154.3681467,-34.06246829,-4872,146.4519185
154.4033272,-34.06083585,-4869,149.7064056
154.4385077,-34.05920341,-4866,152.9608926
154.4736882,-34.05757098,-4864,156.2153797
154.5088686,-34.05593854,-4854,159.4698668
154.5440491,-34.0543061,-4876,162.7243539
154.5792296,-34.05267367,-4879,165.9788409
154.6144101,-34.05104123,-4895,169.233328
154.6495906,-34.0494088,-4894,172.4878151
154.684771,-34.04777636,-4882,175.7423022
154.7199515,-34.04614392,-4882,178.9967893
154.755132,-34.04451149,-4897,182.2512763
154.7903125,-34.04287905,-4927,185.5057634
154.825493,-34.04124661,-4949,188.7602505
154.8606734,-34.03961418,-4948,192.0147376
154.8958539,-34.03798174,-4932,195.2692246
154.9310344,-34.03634931,-4910,198.5237117
154.9662149,-34.03471687,-4901,201.7781988
155.0013953,-34.03308443,-4901,205.0326859
155.0365758,-34.031452,-4895,208.2871729
155.0717563,-34.02981956,-4873,211.54166
155.1069368,-34.02818712,-4889,214.7961471
155.1421173,-34.02655469,-4888,218.0506342
155.1772977,-34.02492225,-4883,221.3051213
155.2124782,-34.02328981,-4891,224.5596083
155.2476587,-34.02165738,-4887,227.8140954
155.2828392,-34.02002494,-4880,231.0685825
155.3180197,-34.01839251,-4869,234.3230696
155.3532001,-34.01676007,-4859,237.5775566
155.3883806,-34.01512763,-4875,240.8320437
155.4235611,-34.0134952,-4875,244.0865308
155.4587416,-34.01186276,-4884,247.3410179
155.4939221,-34.01023032,-4888,250.595505
155.5291025,-34.00859789,-4891,253.849992
155.564283,-34.00696545,-4893,257.1044791
155.5994635,-34.00533302,-4898,260.3589662
155.634644,-34.00370058,-4924,263.6134533
155.6698244,-34.00206814,-4963,266.8679403
155.7050049,-34.00043571,-4968,270.1224274
155.7401854,-33.99880327,-4962,273.3769145
155.7753659,-33.99717083,-4939,276.6314016
155.8105464,-33.9955384,-4910,279.8858886
155.8457268,-33.99390596,-4889,283.1403757
155.8809073,-33.99227352,-4887,286.3948628
155.9160878,-33.99064109,-4811,289.6493499
155.9512683,-33.98900865,-4730,292.903837
155.9864488,-33.98737622,-4687,296.158324
156.0216292,-33.98574378,-4667,299.4128111
156.0568097,-33.98411134,-4635,302.6672982
156.0919902,-33.98247891,-4625,305.9217853
156.1271707,-33.98084647,-4665,309.1762723
156.1623512,-33.97921403,-4714,312.4307594
156.1975316,-33.9775816,-4714,315.6852465
156.2327121,-33.97594916,-4724,318.9397336
156.2678926,-33.97431673,-4733,322.1942207
156.3030731,-33.97268429,-4742,325.4487077
156.3382535,-33.97105185,-4784,328.7031948
156.373434,-33.96941942,-4836,331.9576819
156.4086145,-33.96778698,-4842,335.212169
156.443795,-33.96615454,-4831,338.466656
